"c_host_gene_response_id","c_pathogen_id","c_description","c_host_response_id","c_gene_id","c_curation_flag","c_response_type_vo_id","c_response_type_vo_id2"
830,59,"YF-Vax induced up-regulation of HSH2D in PBMC's extracted from human subjects: 1.23 fold change at day 3, 1.67 fold change at day 7, and 1.24 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1998,10,VO_0000569,
831,59,"YF-Vax induced up-regulation of PHF11 in PBMC's extracted from human subjects: 1.25 fold change at day 3, 1.67 fold change at day 7, and 1.22 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1999,10,VO_0000569,
832,59,"YF-Vax induced up-regulation of C1QB in PBMC's extracted from human subjects: 1.23 fold change at day 3, 1.67 fold change at day 7, and 1.12 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2000,10,VO_0000569,
833,59,"YF-Vax induced up-regulation of SLC27A3 in PBMC's extracted from human subjects: 1.31 fold change at day 3, 1.67 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2001,10,VO_0000569,
834,59,"YF-Vax induced up-regulation of ZC3HAV1 in PBMC's extracted from human subjects: 1.32 fold change at day 3, 1.66 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1977,10,VO_0000569,
835,59,"YF-Vax induced up-regulation of SEPT4 in PBMC's extracted from human subjects: 1.20 fold change at day 3, 1.66 fold change at day 7, and 1.25 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2002,10,VO_0000569,
836,59,"YF-Vax induced up-regulation of GALM in PBMC's extracted from human subjects: 1.25 fold change at day 3, 1.65 fold change at day 7, and 1.38 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2003,10,VO_0000569,
837,59,"YF-Vax induced up-regulation of LGALS9 in PBMC's extracted from human subjects: 1.33 fold change at day 3, 1.65 fold change at day 7, and 1.18 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2004,10,VO_0000569,
838,59,"YF-Vax induced up-regulation of RGL1 in PBMC's extracted from human subjects: 1.19 fold change at day 3, 1.65 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2005,10,VO_0000569,
839,59,"YF-Vax induced up-regulation of CX3CR1 in PBMC's extracted from human subjects: 1.45 fold change at day 3, 1.64 fold change at day 7, and 1.34 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1484,10,VO_0000569,
840,59,"YF-Vax induced up-regulation of PTGDS in PBMC's extracted from human subjects: 1.26 fold change at day 3, 1.62 fold change at day 7, and 1.17 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2007,10,VO_0000569,
841,59,"YF-Vax induced up-regulation of AIM2 in PBMC's extracted from human subjects: 1.32 fold change at day 3, 1.61 fold change at day 7, and 1.41 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2009,10,VO_0000569,
842,59,"YF-Vax induced up-regulation of SP140 in PBMC's extracted from human subjects: 1.25 fold change at day 3, 1.61 fold change at day 7, and 1.31 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2010,10,VO_0000569,
843,59,"YF-Vax induced up-regulation of DUSP5 in PBMC's extracted from human subjects: 1.27 fold change at day 3, 1.60 fold change at day 7, and 1.25 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2011,10,VO_0000569,
844,59,"YF-Vax induced up-regulation of ATF3 in PBMC's extracted from human subjects: 1.05 fold change at day 3, 1.60 fold change at day 7, and 1.16 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2012,10,VO_0000569,
845,59,"YF-Vax induced up-regulation of UBE2L6 in PBMC's extracted from human subjects: 1.31 fold change at day 3, 1.60 fold change at day 7, and 1.17 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1769,10,VO_0000569,
846,59,"YF-Vax induced up-regulation of CECR1 in PBMC's extracted from human subjects: 1.37 fold change at day 3, 1.59 fold change at day 7, and 1.08 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2013,10,VO_0000569,
847,59,"YF-Vax induced up-regulation of NUB1 in PBMC's extracted from human subjects: 1.19 fold change at day 3, 1.58 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2014,10,VO_0000569,
848,59,"YF-Vax induced up-regulation of RRAS in PBMC's extracted from human subjects: 1.54 fold change at day 3, 1.58 fold change at day 7, and 1.26 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2015,10,VO_0000569,
849,59,"YF-Vax induced up-regulation of TAP2 in PBMC's extracted from human subjects: 1.19 fold change at day 3, 1.58 fold change at day 7, and 1.29 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2016,10,VO_0000569,
850,59,"YF-Vax induced up-regulation of HAVCR2 in PBMC's extracted from human subjects: 1.34 fold change at day 3, 1.58 fold change at day 7, and 1.23 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2017,10,VO_0000569,
851,59,"YF-Vax induced up-regulation of MICB in PBMC's extracted from human subjects: 1.26 fold change at day 3, 1.58 fold change at day 7, and 1.29 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2018,10,VO_0000569,
852,59,"YF-Vax induced up-regulation of TRIM21 in PBMC's extracted from human subjects: 1.32 fold change at day 3, 1.57 fold change at day 7, and 1.30 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2019,10,VO_0000569,
853,59,"YF-Vax induced up-regulation of IRF9 in PBMC's extracted from human subjects: 1.43 fold change at day 3, 1.57 fold change at day 7, and 1.28 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2020,10,VO_0000569,
854,59,"YF-Vax induced up-regulation of BATF2 in PBMC's extracted from human subjects: 1.08 fold change at day 3, 1.56 fold change at day 7, and 1.30 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2021,10,VO_0000569,
855,59,"YF-Vax induced up-regulation of ADAR in PBMC's extracted from human subjects: 1.23 fold change at day 3, 1.56 fold change at day 7, and 1.15 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2022,10,VO_0000569,
856,59,"YF-Vax induced up-regulation of TCN2 in PBMC's extracted from human subjects: 1.31 fold change at day 3, 1.55 fold change at day 7, and 1.11 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2023,10,VO_0000569,
857,59,"YF-Vax induced up-regulation of ZNFX1 in PBMC's extracted from human subjects: 1.21 fold change at day 3, 1.54 fold change at day 7, and 1.02 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2024,10,VO_0000569,
858,59,"YF-Vax induced up-regulation of C9ORF91 in PBMC's extracted from human subjects: 1.21 fold change at day 3, 1.54 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2025,10,VO_0000569,
859,59,"YF-Vax induced up-regulation of ATF5 in PBMC's extracted from human subjects: 1.26 fold change at day 3, 1.54 fold change at day 7, and 1.05 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2026,10,VO_0000569,
860,59,"YF-Vax induced up-regulation of NAGK in PBMC's extracted from human subjects: 1.30 fold change at day 3, 1.54 fold change at day 7, and 1.17 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2027,10,VO_0000569,
861,59,"YF-Vax induced up-regulation of SP110 in PBMC's extracted from human subjects: 1.17 fold change at day 3, 1.54 fold change at day 7, and 1.15 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1987,10,VO_0000569,
862,59,"YF-Vax induced up-regulation of TTYH3 in PBMC's extracted from human subjects: 1.42 fold change at day 3, 1.54 fold change at day 7, and 1.14 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2029,10,VO_0000569,
863,59,"YF-Vax induced up-regulation of OSBPL5 in PBMC's extracted from human subjects: 1.26 fold change at day 3, 1.53 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2030,10,VO_0000569,
864,59,"YF-Vax induced up-regulation of FAM26F in PBMC's extracted from human subjects: 1.30 fold change at day 3, 1.53 fold change at day 7, and 1.34 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2031,10,VO_0000569,
865,59,"YF-Vax induced up-regulation of GRN in PBMC's extracted from human subjects: 1.48 fold change at day 3, 1.53 fold change at day 7, and 1.16 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2032,10,VO_0000569,
866,59,"YF-Vax induced up-regulation of SIDT2 in PBMC's extracted from human subjects: 1.40 fold change at day 3, 1.52 fold change at day 7, and 1.09 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2033,10,VO_0000569,
867,59,"YF-Vax induced up-regulation of GNLY in PBMC's extracted from human subjects: 1.22 fold change at day 3, 1.52 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1816,10,VO_0000569,
868,59,"YF-Vax induced up-regulation of PRF1 in PBMC's extracted from human subjects: 1.24 fold change at day 3, 1.52 fold change at day 7, and 1.25 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1815,10,VO_0000569,
869,59,"YF-Vax induced up-regulation of PSME2 in PBMC's extracted from human subjects: 1.19 fold change at day 3, 1.51 fold change at day 7, and 1.33 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2034,10,VO_0000569,
870,59,"YF-Vax induced up-regulation of CHMP5 in PBMC's extracted from human subjects: 1.24 fold change at day 3, 1.51 fold change at day 7, and 1.31 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2035,10,VO_0000569,
871,59,"YF-Vax induced up-regulation of SRC in PBMC's extracted from human subjects: 1.28 fold change at day 3, 1.51 fold change at day 7, and 1.21 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2036,10,VO_0000569,
872,59,"YF-Vax induced up-regulation of ANKFY1 in PBMC's extracted from human subjects: 1.16 fold change at day 3, 1.51 fold change at day 7, and 1.05 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2037,10,VO_0000569,
873,59,"YF-Vax induced up-regulation of CYBB in PBMC's extracted from human subjects: 1.28 fold change at day 3, 1.50 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2038,10,VO_0000569,
874,59,"YF-Vax induced up-regulation of ISG20 in PBMC's extracted from human subjects: 1.09 fold change at day 3, 1.50 fold change at day 7, and 1.11 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1524,10,VO_0000569,
875,59,"YF-Vax induced up-regulation of C3AR1 in PBMC's extracted from human subjects: 1.22 fold change at day 3, 1.50 fold change at day 7, and 1.15 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1459,10,VO_0000569,
876,59,"YF-Vax induced up-regulation of LMO2 in PBMC's extracted from human subjects: 1.28 fold change at day 3, 1.49 fold change at day 7, and 1.22 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2039,10,VO_0000569,
877,59,"YF-Vax induced up-regulation of SMCO4 in PBMC's extracted from human subjects: 1.32 fold change at day 3, 1.49 fold change at day 7, and 1.18 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2040,10,VO_0000569,
878,59,"YF-Vax induced up-regulation of TTC21A in PBMC's extracted from human subjects: 1.10 fold change at day 3, 1.49 fold change at day 7, and 1.09 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2041,10,VO_0000569,
879,59,"YF-Vax induced up-regulation of LILRB1 in PBMC's extracted from human subjects: 1.22 fold change at day 3, 1.48 fold change at day 7, and 1.13 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2042,10,VO_0000569,
880,59,"YF-Vax induced up-regulation of NEXN in PBMC's extracted from human subjects: 1.09 fold change at day 3, 1.48 fold change at day 7, and 1.14 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2043,10,VO_0000569,
881,59,"YF-Vax induced up-regulation of CSF1R in PBMC's extracted from human subjects: 1.49 fold change at day 3, 1.48 fold change at day 7, and 1.07 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1457,10,VO_0000569,
882,59,"YF-Vax induced up-regulation of TAGLN in PBMC's extracted from human subjects: 1.47 fold change at day 3, 1.48 fold change at day 7, and 1.02 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2044,10,VO_0000569,
883,59,"YF-Vax induced up-regulation of REC8 in PBMC's extracted from human subjects: 1.31 fold change at day 3, 1.48 fold change at day 7, and 1.22 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2045,10,VO_0000569,
884,59,"YF-Vax induced up-regulation of CYSLTR1 in PBMC's extracted from human subjects: 1.42 fold change at day 3, 1.48 fold change at day 7, and 1.39 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2046,10,VO_0000569,
885,59,"YF-Vax induced up-regulation of FFAR2 in PBMC's extracted from human subjects: 1.30 fold change at day 3, 1.47 fold change at day 7, and 1.18 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2047,10,VO_0000569,
886,59,"YF-Vax induced up-regulation of ASCL2 in PBMC's extracted from human subjects: 1.27 fold change at day 3, 1.47 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2048,10,VO_0000569,
887,59,"YF-Vax induced up-regulation of CST3 in PBMC's extracted from human subjects: 1.39 fold change at day 3, 1.47 fold change at day 7, and 1.17 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2049,10,VO_0000569,
888,59,"YF-Vax induced up-regulation of VAMP5 in PBMC's extracted from human subjects: 1.20 fold change at day 3, 1.46 fold change at day 7, and 1.33 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2050,10,VO_0000569,
889,59,"YF-Vax induced up-regulation of GNLY in PBMC's extracted from human subjects: 1.24 fold change at day 3, 1.46 fold change at day 7, and 1.17 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1816,10,VO_0000569,
890,59,"YF-Vax induced up-regulation of MARCO in PBMC's extracted from human subjects: 1.39 fold change at day 3, 1.46 fold change at day 7, and 1.23 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1812,10,VO_0000569,
891,59,"YF-Vax induced up-regulation of GRN in PBMC's extracted from human subjects: 1.31 fold change at day 3, 1.46 fold change at day 7, and 1.08 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2032,10,VO_0000569,
892,59,"YF-Vax induced up-regulation of SCIMP in PBMC's extracted from human subjects: 1.29 fold change at day 3, 1.46 fold change at day 7, and 1.12 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2051,10,VO_0000569,
893,59,"YF-Vax induced up-regulation of SP110 in PBMC's extracted from human subjects: 1.21 fold change at day 3, 1.45 fold change at day 7, and 1.15 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1987,10,VO_0000569,
894,59,"YF-Vax induced up-regulation of ANKFY1 in PBMC's extracted from human subjects: 1.14 fold change at day 3, 1.45 fold change at day 7, and 1.13 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2037,10,VO_0000569,
895,59,"YF-Vax induced up-regulation of RHBDF2 in PBMC's extracted from human subjects: 1.21 fold change at day 3, 1.45 fold change at day 7, and 1.15 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2052,10,VO_0000569,
896,59,"YF-Vax induced up-regulation (and down-regulation) of CDC20 in PBMC's extracted from human subjects: -1.01 fold change at day 3, 1.45 fold change at day 7, and 1.88 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2053,10,VO_0000569,
897,59,"YF-Vax induced up-regulation of HMOX1 in PBMC's extracted from human subjects: 1.30 fold change at day 3, 1.45 fold change at day 7, and 1.03 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2624,10,VO_0000569,
898,59,"YF-Vax induced up-regulation of FRMD3 in PBMC's extracted from human subjects: 1.19 fold change at day 3, 1.45 fold change at day 7, and 1.21 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2054,10,VO_0000569,
899,59,"YF-Vax induced up-regulation of PML in PBMC's extracted from human subjects: 1.12 fold change at day 3, 1.44 fold change at day 7, and 1.13 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2055,10,VO_0000569,
900,59,"YF-Vax induced up-regulation of SHISA5 in PBMC's extracted from human subjects: 1.32 fold change at day 3, 1.44 fold change at day 7, and 1.17 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2056,10,VO_0000569,
901,59,"YF-Vax induced up-regulation of PLAC8 in PBMC's extracted from human subjects: 1.23 fold change at day 3, 1.44 fold change at day 7, and 1.17 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2057,10,VO_0000569,
902,59,"YF-Vax induced up-regulation of RBCK1 in PBMC's extracted from human subjects: 1.19 fold change at day 3, 1.44 fold change at day 7, and 1.13 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2058,10,VO_0000569,
903,59,"YF-Vax induced up-regulation of RNF31 in PBMC's extracted from human subjects: 1.28 fold change at day 3, 1.43 fold change at day 7, and 1.11 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2059,10,VO_0000569,
904,59,"YF-Vax induced up-regulation of GCH1 in PBMC's extracted from human subjects: 1.15 fold change at day 3, 1.43 fold change at day 7, and 1.19 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2060,10,VO_0000569,
905,59,"YF-Vax induced up-regulation of RGS12 in PBMC's extracted from human subjects: 1.31 fold change at day 3, 1.43 fold change at day 7, and 1.12 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2061,10,VO_0000569,
906,59,"YF-Vax induced up-regulation of KIAA0319L in PBMC's extracted from human subjects: 1.25 fold change at day 3, 1.43 fold change at day 7, and 1.06 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2062,10,VO_0000569,
907,59,"YF-Vax induced up-regulation of LHFPL2 in PBMC's extracted from human subjects: 1.19 fold change at day 3, 1.43 fold change at day 7, and 1.21 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2063,10,VO_0000569,
908,59,"YF-Vax induced up-regulation of TMEM62 in PBMC's extracted from human subjects: 1.15 fold change at day 3, 1.43 fold change at day 7, and 1.10 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2064,10,VO_0000569,
909,59,"YF-Vax induced up-regulation of TRIM26 in PBMC's extracted from human subjects: 1.24 fold change at day 3, 1.42 fold change at day 7, and 1.12 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2065,10,VO_0000569,
910,59,"YF-Vax induced up-regulation of GBP2 in PBMC's extracted from human subjects: 1.16 fold change at day 3, 1.42 fold change at day 7, and 1.33 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2066,10,VO_0000569,
911,59,"YF-Vax induced up-regulation of PIK3AP1 in PBMC's extracted from human subjects: 1.15 fold change at day 3, 1.42 fold change at day 7, and 1.18 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2073,10,VO_0000569,
912,59,"YF-Vax induced up-regulation of KIR2DL3 in PBMC's extracted from human subjects: 1.08 fold change at day 3, 1.42 fold change at day 7, and 1.08 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1813,10,VO_0000569,
913,59,"YF-Vax induced up-regulation of UBE2S in PBMC's extracted from human subjects: 1.11 fold change at day 3, 1.42 fold change at day 7, and 1.28 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2079,10,VO_0000569,
914,59,"YF-Vax induced up-regulation of IDH2 in PBMC's extracted from human subjects: 1.26 fold change at day 3, 1.42 fold change at day 7, and 1.29 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2083,10,VO_0000569,
915,59,"YF-Vax induced up-regulation of CD68 in PBMC's extracted from human subjects: 1.40 fold change at day 3, 1.42 fold change at day 7, and 1.09 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2092,10,VO_0000569,
916,59,"YF-Vax induced up-regulation of CD68 in PBMC's extracted from human subjects: 1.40 fold change at day 3, 1.42 fold change at day 7, and 1.09 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2092,10,VO_0000569,
917,59,"YF-Vax induced up-regulation of CD68 in PBMC's extracted from human subjects: 1.40 fold change at day 3, 1.42 fold change at day 7, and 1.09 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2092,10,VO_0000569,
918,59,"YF-Vax induced up-regulation of CD68 in PBMC's extracted from human subjects: 1.40 fold change at day 3, 1.42 fold change at day 7, and 1.09 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2092,10,VO_0000569,
919,59,"YF-Vax induced up-regulation of CD68 in PBMC's extracted from human subjects: 1.40 fold change at day 3, 1.42 fold change at day 7, and 1.09 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2092,10,VO_0000569,
920,59,"YF-Vax induced up-regulation of SAT1 in PBMC's extracted from human subjects: 1.09 fold change at day 3, 1.41 fold change at day 7, and 1.15 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2093,10,VO_0000569,
921,59,"YF-Vax induced up-regulation of NT5C3A in PBMC's extracted from human subjects: 1.20 fold change at day 3, 1.41 fold change at day 7, and 1.19 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2094,10,VO_0000569,
922,59,"YF-Vax induced up-regulation of TRIM38 in PBMC's extracted from human subjects: 1.17 fold change at day 3, 1.41 fold change at day 7, and 1.19 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2095,10,VO_0000569,
923,59,"YF-Vax induced up-regulation of C1ORF85 in PBMC's extracted from human subjects: 1.29 fold change at day 3, 1.41 fold change at day 7, and 1.19 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2096,10,VO_0000569,
924,59,"YF-Vax induced up-regulation of LAG3 in PBMC's extracted from human subjects: 1.08 fold change at day 3, 1.41 fold change at day 7, and 1.24 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2097,10,VO_0000569,
925,59,"YF-Vax induced up-regulation of MAD2L1BP in PBMC's extracted from human subjects: 1.20 fold change at day 3, 1.41 fold change at day 7, and 1.15 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2099,10,VO_0000569,
926,59,"YF-Vax induced up-regulation of CNDP2 in PBMC's extracted from human subjects: 1.16 fold change at day 3, 1.41 fold change at day 7, and 1.10 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2102,10,VO_0000569,
927,59,"YF-Vax induced up-regulation of KIAA0319L in PBMC's extracted from human subjects: 1.19 fold change at day 3, 1.40 fold change at day 7, and 1.05 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2062,10,VO_0000569,
928,59,"YF-Vax induced up-regulation of APOBEC3F in PBMC's extracted from human subjects: 1.12 fold change at day 3, 1.40 fold change at day 7, and 1.18 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1473,10,VO_0000569,
929,59,"YF-Vax induced up-regulation of SLFN12 in PBMC's extracted from human subjects: 1.07 fold change at day 3, 1.39 fold change at day 7, and 1.14 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2103,10,VO_0000569,
930,59,"YF-Vax induced up-regulation of KIR2DL4 in PBMC's extracted from human subjects: 1.08 fold change at day 3, 1.39 fold change at day 7, and 1.15 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1814,10,VO_0000569,
931,59,"YF-Vax induced up-regulation of MYD88 in PBMC's extracted from human subjects: 1.27 fold change at day 3, 1.39 fold change at day 7, and 1.12 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1807,10,VO_0000569,
932,59,"YF-Vax induced up-regulation of GIMAP8 in PBMC's extracted from human subjects: 1.21 fold change at day 3, 1.39 fold change at day 7, and 1.07 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2104,10,VO_0000569,
933,59,"YF-Vax induced up-regulation of CAMK1 in PBMC's extracted from human subjects: 1.34 fold change at day 3, 1.39 fold change at day 7, and 1.09 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2105,10,VO_0000569,
934,59,"YF-Vax induced up-regulation of CD86 in PBMC's extracted from human subjects: 1.27 fold change at day 3, 1.39 fold change at day 7, and 1.05 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1483,10,VO_0000569,
935,59,"YF-Vax induced up-regulation of BTN3A1 in PBMC's extracted from human subjects: 1.21 fold change at day 3, 1.38 fold change at day 7, and 1.35 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2106,10,VO_0000569,
936,59,"YF-Vax induced up-regulation of PLAGL2 in PBMC's extracted from human subjects: 1.26 fold change at day 3, 1.38 fold change at day 7, and 1.10 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2107,10,VO_0000569,
937,59,"YF-Vax induced up-regulation of SLC3A2 in PBMC's extracted from human subjects: 1.20 fold change at day 3, 1.38 fold change at day 7, and 1.09 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2108,10,VO_0000569,
938,59,"YF-Vax induced up-regulation of SNTB1 in PBMC's extracted from human subjects: 1.16 fold change at day 3, 1.38 fold change at day 7, and 1.16 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2109,10,VO_0000569,
939,59,"YF-Vax induced up-regulation (and down-regulation) of HLA-DRB4 in PBMC's extracted from human subjects: 1.26 fold change at day 3, 1.38 fold change at day 7, and -1.01 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2110,10,VO_0000569,
940,59,"YF-Vax induced up-regulation of CASP5 in PBMC's extracted from human subjects: 1.17 fold change at day 3, 1.38 fold change at day 7, and 1.18 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,1823,10,VO_0000569,
941,59,"YF-Vax induced up-regulation of CD74 in PBMC's extracted from human subjects: 1.18 fold change at day 3, 1.38 fold change at day 7, and 1.17 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2111,10,VO_0000569,
942,59,"YF-Vax induced up-regulation of AP5B1 in PBMC's extracted from human subjects: 1.21 fold change at day 3, 1.38 fold change at day 7, and 1.20 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2112,10,VO_0000569,
943,59,"YF-Vax induced up-regulation of CUL1 in PBMC's extracted from human subjects: 1.09 fold change at day 3, 1.38 fold change at day 7, and 1.13 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2113,10,VO_0000569,
944,59,"YF-Vax induced up-regulation of SRBD1 in PBMC's extracted from human subjects: 1.18 fold change at day 3, 1.37 fold change at day 7, and 1.31 fold change at day 10 after vaccination [Ref2892:Gaucher et al., 2008]",1635,2114,10,VO_0000569,
