"c_vaxvec_id","c_vaxvec_name","c_alternative_names","c_advantage","c_disadvantage","c_safety","c_stability","c_host","c_vaxvec_vo_id","c_description","c_submitted_by","c_submission_date","c_curation_flag","c_preparation","c_storage","c_function"
55,myxoma virus vaccine vector,,,,,,,VO_0001062,,shzhdeng@gmail.com,"2014-06-18 23:26:39",10,,,
56,porcine adenovirus 3 vaccine vector,PAV3,,,,,,VO_0001051,,shzhdeng@gmail.com,"2014-06-18 23:38:06",10,,,
57,avian paramyxovirus type 3 vaccine vector,APMV-3,,,,,,VO_0001045,,shzhdeng@gmail.com,"2014-06-19 00:03:37",10,,,
58,Coxsackievirus vaccine vector,,,,,,,VO_0001057,,shzhdeng@gmail.com,"2014-06-19 00:24:18",10,,,
59,Herpes simplex virus vaccine vector,HSV vaccine vector,,,,,,VO_0001046,,shzhdeng@gmail.com,"2014-06-19 00:41:36",10,,,
60,poliovirus vaccine vector,PV,,,,,,VO_0001052,,shzhdeng@gmail.com,"2014-06-19 00:51:25",10,,,
61,Salmonella typhi vaccine vector,,,,,,,VO_0001075,,shzhdeng@gmail.com,"2014-06-19 11:18:05",10,,,
62,pseudorabies virus (PrV)  vaccine vector,PrV,,,,,,VO_0001050,,shzhdeng@gmail.com,"2014-06-19 15:20:29",10,,,
63,Herpes simplex virus 1 vaccine vector,HSV-1 vector,,,,,,VO_0001068,,shzhdeng@gmail.com,"2014-06-19 15:27:12",10,,,
64,Oka varicella vaccine vector,,,,,,,VO_0001059,,shzhdeng@gmail.com,"2014-06-19 15:35:58",10,,,
65,Mycobacterium smegmatis vaccine vector,,,,,,,VO_0001064,,shzhdeng@gmail.com,"2014-06-19 15:43:27",10,,,
66,yellow fever vaccine virus 17D vaccine vector,,,,,,,VO_0000122,,shzhdeng@gmail.com,"2014-06-19 15:50:37",10,,,
67,Raccoon poxvirus vaccine vector,,,,,,,VO_0001048,,shzhdeng@gmail.com,"2014-06-19 15:59:50",10,,,
78,MVA virus vaccine vector,Modified Vaccinia Ankara virus vaccine vector,,,"During passaging, the host range of the virus was severely restricted. Host range restriction of this virus in cell culture is partially governed by the six major deletions and is to a large extent based on additional mutations among the multitude of genes with altered amino acid sequence compared to the parental CVA virus. As a result, MVA is unable to productively infect many mammalian cells. As a third-generation smallpox vaccine, MVA has an excellent safety profile and immunogenicity in the clinic. In addition, MVA is well tolerated and immunogenic when administered to immunocompromised patients infected with HIV [Ref3336:Wennier et al., 2013].",,,VO_0001107,"Modified vaccinia virus Ankara (MVA) has been shown to be suitable for the generation of experimental vaccines against cancer and infectious diseases [Ref3336:Wennier et al., 2013].",yongqunh@umich.edu,"2014-07-24 14:40:43",10,"MVA was derived from chorioallantois vaccinia Ankara (CVA), a Turkish smallpox vaccine strain, by serial passaging (> 570 passages) in primary chicken embryo fibroblast (CEF) cells [Ref3337:Mayr and Munz, 1964].",,
68,ORF virus vaccine vector,,,,,,,VO_0001108,ORF virus vaccine vector is a parapoxvirus.,shzhdeng@gmail.com,"2014-06-23 09:40:38",10,,,
69,vaccinia virus TianTan (MVTT),MVTT,,,,,,VO_0001109,,shzhdeng@gmail.com,"2014-06-23 09:41:10",10,,,
70,Lumpy Skin Disease Virus (LSDV),LSDV vaccine vector,,,,,,VO_0001111,,shzhdeng@gmail.com,"2014-06-23 09:41:40",10,,,
71,bovine parainfluenza virus vaccine vector,,,,,,,VO_0001112,"This vector is a paramyxovirus [Ref3299:Le et al., 2013].",shzhdeng@gmail.com,"2014-06-25 16:59:53",10,,,
72,capripoxvirus vaccine vector,,,,,,,VO_0001115,,shzhdeng@gmail.com,"2014-06-25 17:01:00",10,,,
73,Corynebacterium pseudotuberculosis vaccine vector,,,,,,,VO_0001118,,shzhdeng@gmail.com,"2014-06-25 17:01:30",10,,,
74,rhabdovirus-based vaccine vector,,,,,,,VO_0001121,,shzhdeng@gmail.com,"2014-06-25 17:01:56",10,,,
75,Venezuelan equine encephalitis virus vaccine vector,VEE vaccine vector,,,,,,VO_0001124,,shzhdeng@gmail.com,"2014-06-25 17:02:50",10,,,
76,Saccharomyces cerevisiae vaccine vector,,"In addition to the safety profile, there are several advantages of yeast expression systems: high expression levels, ease of scale-up, low cost, and adjuvant potential of yeast cell-wall components, such as Î²-1,3-d-glucan and mannan. Yeast-based expression systems have been developed and successfully used to produce recombinant proteins. Furthermore cell-surface display in yeast, designed as an antigen delivery system, provide the stable maintenance of surface-expressed epitopes with a high-density displayed protein [Ref3339:Shin et al., 2013].",,"Baker's yeast (Saccharomyces cerevisiae) has been used for the oral application of vaccines and drugs, as a Generally Recognized as Safe (GRAS) organism, because it is relatively stable and nonpathogenic in the gut compared with the other biodegradable vehicles  [Ref3339:Shin et al., 2013].",,,VO_0001122,,shzhdeng@gmail.com,"2014-06-25 17:03:38",10,,,
77,ALVAC vaccine vector,,,,,,,VO_0001128,,yongqunh@umich.edu,"2014-07-22 19:55:57",10,,,
79,PVSRIPO vaccine vector,,"PVSRIPO has a natural inherent tropism for antigen-presenting cells including dendritic cells and macrophages due to the presence of the CD-155 receptor on their cellular surfaces [Ref5728:Mosaheb et al., 2020]. This enables it of inducing CD8+ T-cell mediate immune responses. ",,,,,VO_0005434,,yongqunh@umich.edu,"2023-02-26 16:02:31",10,,,
80,new,,,,,,,,,new@gmail.com,"2023-06-29 20:31:53",3,,,
81,groel,,,,,,,,,ls_shadi@yahoo.com,"2024-12-03 08:20:30",3,,,
