"c_host_response_id","c_host_id","c_vaccine_id","c_immune_response","c_pathogen_id","c_host_strain","c_vaccination_protocol","c_route","c_persistence","c_protection_efficacy","c_side_effects","c_challenge_protocol","c_description","c_curation_flag","c_deleted","c_immune_response_assay_type","c_immune_response_type","c_immune_response_type2","c_age","c_gender","c_cellType"
985,3,3161,"",42,"","",,"A clpP mutant (CS2007) causes hyperflagellation. These hyperflagellated bacteria are attenuated in mice [Ref1955:Matsui et al., 2003].","A clpP mutant elicited protection in mice from challenge with wild type S. typhimurium [Ref1955:Matsui et al., 2003].","","","",10,0,,,,,,
986,15,3162,"",42,"","",,"A gyrA/cpxA/rpoB mutant was attenuated in pigs [Ref1978:Roesler et al., 2004].","A gyrA/cpxA/rpoB mutant protected pigs against challenge with wild type Salmonella Typhimurium [Ref1978:Roesler et al., 2004].","","","",10,0,,,,,,
987,3,3163,"",42,"","",,"A cpxR/Ion mutant is highly attenuated in mice [Ref1861:Matsuda et al., 2010].","A cpxR/Ion mutant induces significant protection in mice from challenge with wild type S. Gallinarum [Ref1861:Matsuda et al., 2010].","","","",10,0,,,,,,
988,3,3164,"",42,"","",,"A crp mutant is attenuated in mice [Ref1860:Rosu et al., 2007].","A crp mutant induces significant protection in mice from challenge with wild type S. Gallinarum [Ref1860:Rosu et al., 2007].","","","",10,0,,,,,,
989,3,3165,"",42,"","",,"A fliC/guaB mutant is attenuated in mice [Ref1785:Adriaensen et al., 2007].","A fliC/guaB mutant induces significant protection in mice from challenge with wild type S. enterica [Ref1785:Adriaensen et al., 2007].","","","",10,0,,,,,,
990,8,3165,"",42,"","",,"A fliC/guaB mutant is attenuated in chickens [Ref1785:Adriaensen et al., 2007].","A fliC/guaB mutant induces significant protection in chickens from challenge with wild type S. enterica [Ref1785:Adriaensen et al., 2007].","","","",10,0,,,,,,
991,3,3166,"",42,"","",,"A galE mutant is attenuated in mice [Ref1870:Germanier and FÃ¼er, 1975].","A galE mutant protects mice from lethal challenge with Salmonella Typhi [Ref1870:Germanier and FÃ¼er, 1975].","","","",10,0,,,,,,
992,3,3167,"",42,"","",,"An hfq mutant is attenuated in mice [Ref1807:Allam et al., 2011].","An hfq mutant efficiently protects mice against subsequent oral challenge with virulent strain of Salmonella Typhimurium [Ref1807:Allam et al., 2011].","","","",10,0,,,,,,
993,3,3168,"",42,"","",,"An htrA mutant is attenuated in mice [Ref2065:Chatfield et al., 1992].","An htrA mutant provides protection in mice against an oral challenge with virulent S. typhimurium SL1344 [Ref2065:Chatfield et al., 1992].","","","",10,0,,,,,,
994,3,3169,"",42,"","",,"An IppA/IppB/msbB mutant is attenuated in mice [Ref1917:Liu et al., 2008].","An IppA/IppB/msbB mutant provides significant protection in mice from challenge with wild type S. Typhimurium [Ref1917:Liu et al., 2008].","","","",10,0,,,,,,
995,3,3170,"",42,"","",,"An IppB/msbB mutant is attenuated in mice [Ref1917:Liu et al., 2008].","An IppB/msbB mutant provides significant protection from challenge with wild type S. Typhimurium [Ref1917:Liu et al., 2008].","","","",10,0,,,,,,
996,8,3171,"",42,"","",,"A nuoG mutant is attenuated in chickens [Ref1646:Zhang-Barber et al., 1998].","A nuoG mutant conferred significant protection in chickens from challenge with wild type S. Gallinarum [Ref1646:Zhang-Barber et al., 1998].","","","",10,0,,,,,,
997,3,3172,"",42,"","",,"An ompR mutant is attenuated in mice after oral challenge [Ref1954:Dorman et al., 1989].","A ompR mutant conferred significant protection in mice from challenge with wild type Salmonella Typhimurium [Ref1954:Dorman et al., 1989].","","","",10,0,,,,,,
998,3,3173,"",42,"","",,"A phoP mutant is attenuated in mice [Ref1327:Lee et al., 2007].","A phoP mutant provides significant protection in mice from challenge with wild type S. Typhi [Ref1327:Lee et al., 2007].","","","",10,0,,,,,,
999,3,3174,"",42,"","",,"A poxA mutant is attenuated in mice [Ref1967:Kaniga et al., 1998].","A poxA mutant provided significant protection in mice from challenge with wild type Salmonella Typhimurium [Ref1967:Kaniga et al., 1998].","","","",10,0,,,,,,
1000,8,3175,"",42,"","",,"A relA/spoT mutant is attenuated in chickens [Ref1885:Park et al., 2010].","A relA/spoT mutant induces significant protection in chickens from challenge with wild type Salmonella Gallinarum [Ref1885:Park et al., 2010].","","","",10,0,,,,,,
1001,3,3134,"",109,"","",,"The B. pertussis aroA mutants expressed the normal B. pertussis extracellular, virulence-associated proteins [Ref1660:Roberts et al., 1990].","Mice exposed to three separate aerosols of live B. pertussis aroA bacteria were protected against lung colonization after being exposed to an aerosol containing the virulent parental B. pertussis strain. High-level antibodies against B. pertussis rapidly appeared in the sera of mice immunized by aerosol with the B. pertussis aroA strains and challenged with the virulent parent [Ref1660:Roberts et al., 1990].","","","",10,0,,,,,,
1002,3,3176,"",109,"","",,"The dnt mutant in B. pertussis yielded a highly attenuated strain that was still able to transiently colonize the mouse respiratory tract [Ref1805:Feunou et al., 2008.","A single intranasal administration of BPZE1(dnt mutant vaccine) induced full protection in adult mice (8 weeks old), as well as in infant mice (3 weeks old), whereas commercial acellular pertussis vaccine (aPV) only partially protected infant mice, even after repetitive doses [Ref1805:Feunou et al., 2008].","","","",10,0,,,,,,
1003,12,3178,"",67,"","",,"The bovine herpesvirus 1 (BHV1) strain Za is a conventionally attenuated strain with a 2.7 kb deletion that encompasses the complete coding region for glycoprotein E (gE)  [Ref1030:Kaashoek et al., 1995].","Calves given the vaccine with the highest antigen concentration were ad.equately protected against challenge; clinical symptoms were virtually absent and challenge virus shedding was significantly reduced as compared with unvaccinated calves [Ref1030:Kaashoek et al., 1995]","","","",10,0,,,,,,
1004,3,3179,"",121,"","",,"Compared to the parental wild type strain, A2DeltaaroC was highly attenuated for virulence following intraperitoneal introduction into BALB/c and C57BL/6 mice [Ref1722:Srilunchang et al., 2009].","C57BL/6 mice immunized intraperitoneally with A2DeltaaroC were significantly protected against a challenge dose of 6,000 cfu (20 x LD50) [Ref1722:Srilunchang et al., 2009].","","","",10,0,,,,,,
1005,3,3181,"",42,"","",,"An rpoS mutant is attenuated in mice [Ref1320:Coynault et al., 1996].","An rpoS mutant protects mice from challenge with wild type Salmonella typhimurium after a single dose [Ref1320:Coynault et al., 1996].","","","",10,0,,,,,,
1006,3,3182,"",42,"","",,"A ruvB mutant is attenuated in mice [Ref1645:Choi et al., 2010].","A ruvB mutant provides protection in mice from challenge with wild type Salmonella Typhimurium [Ref1645:Choi et al., 2010].","","","",10,0,,,,,,
1007,3,3183,"",42,"","",,"A surA mutant is attenuated in mice [Ref1963:Sydenham et al., 2000].","A surA mutant induces protection in mice from challenge with wild type Salmonella Typhimurium [Ref1963:Sydenham et al., 2000].","","","",10,0,,,,,,
1008,3,3184,"",42,"","",,"A tolA mutant is attenuated in mice [Ref1647:Paterson et al., 2009].","A tolA mutant induces protection in mice from challenge with wild type Salmonella Typhimurium [Ref1647:Paterson et al., 2009].","","","",10,0,,,,,,
1009,3,3185,"",42,"","",,"A trxA mutant is attenuated in mice [Ref978:Peters et al., 2010].","A trxA mutant induces protection in mice from challenge with wild type Salmonella Typhimurium [Ref978:Peters et al., 2010].","","","",10,0,,,,,,
1010,3,3186,"",42,"","",,"A znuABC mutant is attenuated in mice [Ref1644:Pesciaroli et al., 2011].","A znuABC mutant induces protection in mice from challenge with wild type Salmonella Typhimurium [Ref1644:Pesciaroli et al., 2011].","","","",10,0,,,,,,
1011,3,3187,"",56,"","",,"A glycoprotein G mutant is attenuated in mice [Ref1977:Wu et al., 2011].","A glycoprotein G mutant induces protection in mice from challenge with wild type rabies virus [Ref1977:Wu et al., 2011].","","","",10,0,,,,,,
1012,16,3187,"",56,"","",,"A glycoprotein G mutant is attenuated in hamsters [Ref1977:Wu et al., 2011].","A glycoprotein G mutant induces significant protection in hamsters from challenge with wild type rabies virus [Ref1977:Wu et al., 2011].","","","",10,0,,,,,,
1013,3,3188,"",56,"","",,"A P protein mutant is attenuated in mice [Ref1803:Morimoto et al., 2005].","A P protein mutant induces protection in mice from challenge with wild type rabies virus [Ref1803:Morimoto et al., 2005].","","","",10,0,,,,,,
1014,56,3189,"",65,"","",,"A glycoprotein E/G/UL23 is attenuated in raccoons [Ref1962:Weigel et al., 2003].","A glycoprotein E/G/UL23 mutant provides some protection in raccoons from challenge with wild type Pseudorabies virus [Ref1962:Weigel et al., 2003].","","","",10,0,,,,,,
1015,15,3190,"",65,"","",,"A glycoprotein M mutant is attenuated in piglets [Ref1970:Dijkstra et al., 1997].","A glycoprotein M mutant induces protection in piglets from challenge with wild type Pseudorabies virus [Ref1970:Dijkstra et al., 1997].","","","",10,0,,,,,,
1016,15,3191,"",65,"","",,"A gp50/gp63 mutant is attenuated in pigs [Ref1980:Peeters et al., 1994].","A gp50/gp63 mutant vaccine induces protection in pigs from challenge with wild type Pseudorabies virus [Ref1980:Peeters et al., 1994].","","","",10,0,,,,,,
1017,15,3192,"",65,"","",,"A UL50 mutant is attenuated in pigs [Ref1969:JÃ¶ns et al., 1997].","A UL50 mutant induces protection in pigs from challenge with wild type Pseudorabies virus [Ref1969:JÃ¶ns et al., 1997].","","","",10,0,,,,,,
1018,15,3193,"",65,"","",,"A US3 mutant is attenuated in pigs [Ref1256:Kimman et al., 1994].","A US3 mutant induces complete protection in pigs from challenge with wild type Pseudorabies virus [Ref1256:Kimman et al., 1994].","","","",10,0,,,,,,
1019,15,3194,"",183,"","",,"A GP5 protein mutant is attenuated in piglets [Ref1868:Tian et al., 2009].","A GP5 protein mutant induces protection in piglets from challenge with wild type HP-PRRSV [Ref1868:Tian et al., 2009].","","","",10,0,,,,,,
1020,3,3195,"",30,"","",,"A FabB/FabF genetically attenuated parasite is attenuated in mice [Ref2068:Butler et al., 2011].","A FabB/FabF genetically attenuated parasite induces complete protection in mice from challenge with wild type Plasmodium [Ref2068:Butler et al., 2011].","","","",10,0,,,,,,
1021,3,3196,"",30,"","",,"A p36p mutant is attenuated in mice [Ref1971:Douradinha et al., 2007].","A p36p mutant provides protection in mice from challenge with wild type Plasmodium berghei [Ref1971:Douradinha et al., 2007].","","","",10,0,,,,,,
1022,3,3197,"",30,"","",,"A p36/p52 mutant is attenuated in mice [Ref1972:Labaied et al., 2007].","A p36/p52 mutant induces protection in mice from challenge with wild type Plasmodium [Ref1972:Labaied et al., 2007].","","","",10,0,,,,,,
1023,3,3198,"",30,"","",,"A UIS3 mutant is attenuated in mice [Ref1973:Tarun et al., 2007].","A UIS3 mutant provided complete protection in mice after two doses from challenge with wild type Plasmodium yoelii [Ref1973:Tarun et al., 2007].","","","",10,0,,,,,,
1024,12,3199,"",161,"","",,"An aroA mutant is highly attenuated in calves [Ref1721:Dagleish et al., 2007].","An aroA mutant induces significant protection in calves from challenge with wild type Pasteurella multocida [Ref1721:Dagleish et al., 2007].","","","",10,0,,,,,,
1025,3,3200,"",46,"","",,"A metH/siaD mutant is attenuated in mice [Ref1804:Li et al., 2004].","A metH/siaD mutant induces significant protection in mice from challenge with wild type neisseria meningitidis [Ref1804:Li et al., 2004].","","","",10,0,,,,,,
1026,3,3201,"",46,"","",,"A rfaF/siaD mutant is attenuated in mice [Ref1804:Li et al., 2004].","An rfaF/siaD mutant induces significant protection in mice from challenge with wild type Neisseria meningitidis [Ref1804:Li et al., 2004].","","","",10,0,,,,,,
1027,8,3202,"",84,"","",,"An lpd mutant is highly attenuated in chickens [Ref1667:Gates et al., 2008].","An lpd mutant induces significant protection in chickens from challenge with wild type Mycoplasma gallisepticum [Ref1667:Gates et al., 2008].","","","",10,0,,,,,,
1028,3,3203,"",29,"","",,"A drrC mutant is highly attenuated in mice [Ref1673:Pinto et al., 2004].","A drrC mutant induces significant protection in mice from challenge with wild type M. tuberculosis [Ref1673:Pinto et al., 2004].","","","",10,0,,,,,,
1029,3,3204,"",29,"","",,"A fadD26 mutant is attenuated in mice [Ref1669:Infante et al., 2005].","A fadD26 mutant induces significant protection in mice from challenge with wild type M. tuberculosis [Ref1669:Infante et al., 2005].","","","",10,0,,,,,,
1030,3,3205,"",29,"","",,"A leuD mutant is attenuated in mice [Ref1808:Hondalus et al., 2000].","A leuD mutant induces significant protection in mice from challenge with wild type M. tuberculosis [Ref1808:Hondalus et al., 2000].","","","",10,0,,,,,,
1031,3,3206,"",29,"","",,"A lysA/secA2 mutant is highly attenuated in mice [Ref1809:Hinchey et al., 2011].","A lysA/secA2 mutant induces significant protection in mice from challenge with wild type M. tuberculosis  [Ref1809:Hinchey et al., 2011].","","","",10,0,,,,,,
1032,3,3207,"",29,"","",,"A mce-2 mutant is attenuated in mice [Ref1932:Aguilar et al., 2006].","A mce-2 mutant induces significant protection in mice from challenge with wild type M. tuberculosis [Ref1932:Aguilar et al., 2006].","","","",10,0,,,,,,
1033,3,3208,"",29,"","",,"A panCD mutant is attenuated in mice [Ref1674:Sambandamurthy et al., 2002].","A panCD mutant induces significant protection in mice from challenge with wild type M. tuberculosis [Ref1674:Sambandamurthy et al., 2002].","","","",10,0,,,,,,
1034,3,3209,"",29,"","",,"A proC mutant is attenuated in mice [Ref1672:Smith et al., 2001].","A proC mutant induces significant protection in mice from challenge with wild type M. tuberculosis [Ref1672:Smith et al., 2001].","","","",10,0,,,,,,
1035,3,3210,"",29,"","",,"A trpD mutant is attenuated in mice [Ref1672:Smith et al., 2001].","A trpD mutant induces significant protection in mice from challenge with wild type M. tuberculosis [Ref1672:Smith et al., 2001].","","","",10,0,,,,,,
1036,3,3211,"",29,"","",,"A sigE mutant is attenuated in mice [Ref1668:Hernandez et al., 2010].","A sigE mutant induces significant protection in mice from challenge with wild type M. tuberculosis [Ref1668:Hernandez et al., 2010].","","","",10,0,,,,,,
1037,13,3212,"",119,"","",,"A relA mutant is attenuated in goats [Ref2026:Park et al., 2011].","A relA mutant induces protection in goats from challenge with wild type M. avium [Ref2026:Park et al., 2011].","","","",10,0,,,,,,
1038,3,3213,"",180,"","",,"An aroA mutant is attenuated in mice [Ref1773:Homchampa et al., 1994].","An aroA mutant induced significant protection in mice from challenge with wild type M. haemolytica [Ref1773:Homchampa et al., 1994].","","","",10,0,,,,,,
1039,3,3214,"",136,"","",,"An actA mutant is attenuated in mice [Ref1774:Darji et al., 2003].","An actA mutant induces significant protection in mice from challenge with wild type L. monocytogenes [Ref1774:Darji et al., 2003].","","","",10,0,,,,,,
1040,3,3215,"",136,"","",,"An actA/plcB mutant is attenuated in mice [Ref1774:Darji et al., 2003].","An actA/plcB mutant induces significant protection in mice from challenge with wild type L. monocytogenes [Ref1774:Darji et al., 2003].","","","",10,0,,,,,,
1041,16,3216,"",97,"","",,"A cen1 mutant is attenuated in hamsters [Ref1775:Selvapandiyan et al., 2009].","A cen1 mutant induces significant protection in hamsters from challenge with wild type L. donovani [Ref1775:Selvapandiyan et al., 2009].","","","",10,0,,,,,,
1042,3,3216,"",97,"","",,"A cen1 mutant is attenuated in mice [Ref1775:Selvapandiyan et al., 2009].","A cen1 mutant induces significant protection in mice from challenge with wild type L. donovani [Ref1775:Selvapandiyan et al., 2009].","","","",10,0,,,,,,
1043,3,3217,"",50,"","",,"An NS1 mutant is attenuated in mice [Ref1126:Richt and GarcÃ­a-Sastre, 2009].","An NS1 mutant induces significant protection in mice from challenge with wild type influenza virus [Ref1126:Richt and GarcÃ­a-Sastre, 2009].","","","",10,0,,,,,,
1044,15,3217,"",50,"","",,"An NS1 mutant is attenuated in pigs [Ref1126:Richt and GarcÃ­a-Sastre, 2009].","An NS1 mutant induces significant protection in pigs from challenge with wild type influenza virus [Ref1126:Richt and GarcÃ­a-Sastre, 2009].","","","",10,0,,,,,,
1045,18,3217,"",50,"","",,"An NS1 mutant is attenuated in horses [Ref1126:Richt and GarcÃ­a-Sastre, 2009].","An NS1 mutant induces significant protection in horses from challenge with wild type influenza virus [Ref1126:Richt and GarcÃ­a-Sastre, 2009].","","","",10,0,,,,,,
1046,39,3217,"",50,"","",,"An NS1 mutant is attenuated in macaques [Ref1126:Richt and GarcÃ­a-Sastre, 2009].","An NS1 mutant induces significant protection in macaques from challenge with wild type influenza virus [Ref1126:Richt and GarcÃ­a-Sastre, 2009].","","","",10,0,,,,,,
1047,45,3218,"",75,"","",,"A NV mutant is attenuated in rainbow trout [Ref2056:Thoulouze et al., 2004].","An NV mutant induces significant protection in rainbow trout from challenge with wild type IHNV [Ref2056:Thoulouze et al., 2004].","","","",10,0,,,,,,
1048,5,3219,"",212,"","",,"An M2-2 mutant is attenuated in African green monkeys [Ref1999:Jin et al., 2003].","An M2-2 mutant induces significant protection in African green monkeys from challenge with wild type HRSV [Ref1999:Jin et al., 2003].","","","",10,0,,,,,,
1049,5,3220,"",210,"","",,"A G protein mutant is attenuated in African green monkeys [Ref1997:Biacchesi et al., 2005].","A G protein mutant induces significant protection in African green monkeys from challenge with wild type HMPV [Ref1997:Biacchesi et al., 2005].","","","",10,0,,,,,,
1050,5,3221,"",210,"","",,"An M2-2 mutant is attenuated in African green monkeys [Ref1997:Biacchesi et al., 2005].","An M2-2 mutant induces significant protection in African green monkeys from challenge with wild type HMPV [Ref1997:Biacchesi et al., 2005].","","","",10,0,,,,,,
1051,3,3222,"",100,"","",,"A gD mutant is attenuated in mice [Ref1795:Awasthi et al., 2008].","A gD mutant induces significant protection in mice from challenge with wild type HSV-1 [Ref1795:Awasthi et al., 2008].","","","",10,0,,,,,,
1052,3,3223,"",100,"","",,"A gH mutant is attenuated in mice [Ref1867:Farrell et al., 1994].","A gH mutant induces significant protection in mice from challenge with wild type HSV-1 [Ref1867:Farrell et al., 1994].","","","",10,0,,,,,,
1053,3,3224,"",100,"","",,"An ICP0 mutant is attenuated in mice [Ref1968:Halford et al., 2011].","An ICP0 mutant induces protection in mice from challenge with wild type HSV-2 [Ref1968:Halford et al., 2011].","","","",10,0,,,,,,
1054,3,3225,"",100,"","",,"A TK mutant is attenuated in mice [Ref1982:Field and Wildy, 1978].","A TK mutant induces significant protection from challenge with wild type HSV-1 [Ref1982:Field and Wildy, 1978].","","","",10,0,,,,,,
1055,3,3226,"",100,"","",,"A UL29 mutant is attenuated in mice [Ref1866:Morrison and Knipe, 1994].","A UL29 mutant induces significant protection from challenge with wild type HSV-1 [Ref1866:Morrison and Knipe, 1994].","","","",10,0,,,,,,
1056,57,3227,"",49,"","",,"An X protein mutant is attenuated in woodchucks [Ref1307:Zhang et al., 2001].","An X protein mutant induces significant protection in woodchucks from challenge with wild type Hepatitis B virus [Ref1307:Zhang et al., 2001].","","","",10,0,,,,,,
1057,8,3228,"",157,"","",,"A UL0 mutant is attenuated in chickens [Ref1975:Veits et al., 2003].","A UL0 mutant induces significant protection in chickens from challenge with wild type gallid herpesvirus 1 [Ref1975:Veits et al., 2003].","","","",10,0,,,,,,
1058,8,3229,"",157,"","",,"A UL23 mutant is attenuated in chickens [Ref1985:Han et al., 2002].","A UL23 mutant induces significant protection in chickens from challenge with wild type GHV-1 [Ref1985:Han et al., 2002].","","","",10,0,,,,,,
1059,8,3230,"",157,"","",,"A UL47 mutant is attenuated in chickens [Ref1974:Helferich et al., 2007].","A UL47 mutant induces significant protection in chickens from challenge with wild type GHV-1 [Ref1974:Helferich et al., 2007].","","","",10,0,,,,,,
1060,3,3232,"",12,"","",,"A capB mutant is attenuated in mice [Ref1791:Jia et al., 2010].","A capB mutant induces significant protection in mice from challenge with wild type F. tularensis [Ref1791:Jia et al., 2010].","","","",10,0,,,,,,
1061,3,3233,"",12,"","",,"A FTL0552 mutant is attenuated in mice [Ref1958:Sammons-Jackson et al., 2008].","A FTL0552 mutant provided partial protection in mice from challenge with wild type Francisella tularensis SchuS4 [Ref1958:Sammons-Jackson et al., 2008].","","","",10,0,,,,,,
1062,3,3234,"",12,"","",,"A FTT0918 mutant showed significantly reduced virulence in mice [Ref65:Twine et al., 2005].","A FTT0918 provided protection in mice from challenge with wild type F. tularensis 2 months after immunization [Ref65:Twine et al., 2005].","","","",10,0,,,,,,
1063,3,3235,"",12,"","",,"A guaA mutant is attenuated in mice [Ref1676:Santiago et al., 2009].","A guaA mutant induces significant protection in mice from challenge with wild type F. tularensis [Ref1676:Santiago et al., 2009].","","","",10,0,,,,,,
1064,3,3236,"",12,"","",,"A guaB mutant is attenuated in mice [Ref1676:Santiago et al., 2009].","A guaB mutant induces significant protection in mice from challenge with wild type F. tularensis [Ref1676:Santiago et al., 2009].","","","",10,0,,,,,,
1065,3,3237,"",12,"","",,"An IglB mutant is attenuated in mice [Ref1085:Yu et al., 2010].","An IglB mutant induces significant protection in mice from challenge with wild type F. tualrensis U112, LVS, and SchuS4 [Ref1085:Yu et al., 2010].","","","",10,0,,,,,,
1066,3,3238,"",12,"","",,"A purMCD mutant is attenuated in mice [Ref1960:Pechous et al., 2006].","A purMCD mutant induces significant protection in mice from challenge with wild type F. tularensis [Ref1960:Pechous et al., 2006].","","","",10,0,,,,,,
1067,3,3239,"",12,"","",,"A purF mutant is attenuated in mice [Ref1798:Quarry et al., 2007].","A purF mutant induces significant protection from challenge with wild type F. tularensis [Ref1798:Quarry et al., 2007].","","","",10,0,,,,,,
1068,3,3240,"",12,"","",,"A sodC mutant is attenuated in mice [Ref1957:Melillo et al., 2009].","A sodC mutant induces protection in mice from challenge with wild type F. tularensis [Ref1957:Melillo et al., 2009].","","","",10,0,,,,,,
1069,3,3241,"",12,"","",,"A wbtA mutant is attenuated in mice [Ref1959:Sebastian et al., 2007].","A wbtA mutant induces significant protection in mice from challenge with wild type F. tularensis [Ref1959:Sebastian et al., 2007].","","","",10,0,,,,,,
1070,3,3242,"",12,"","",,".A wbtI mutant is attenuated in mice [Ref1087:Li et al., 2007]","A wbtI mutant induces protection in mice, especially in higher doses, from challenge with wild type F. tularensis [Ref1087:Li et al., 2007].","","","",10,0,,,,,,
1071,37,3243,"",175,"","",,"A 3abc mutant is attenuated in kittens [Ref1986:Haijema et al., 2004].","A 3abc mutant induces protection in kittens from challenge with wild type FIPV [Ref1986:Haijema et al., 2004].","","","",10,0,,,,,,
1072,37,3244,"",175,"","",,"A 7ab mutant is attenuated in kittens [Ref1986:Haijema et al., 2004].","A 7ab mutant induces protection in kittens from challenge with wild type FIPV [Ref1986:Haijema et al., 2004].","","","",10,0,,,,,,
1073,37,3245,"",154,"","",,"An ORF-A is attenuated in cats [Ref1790:Pistello et al., 2005].","An ORF-A mutant induces protection from challenge with wild type FIV [Ref1790:Pistello et al., 2005].","","","",10,0,,,,,,
1074,37,3246,"",154,"","",,"A vif mutant is attenuated in cats [Ref1987:Lockridge et al., 2000].","A vif mutant induces significant protection in cats from challenge with wild type FIV [Ref1987:Lockridge et al., 2000].","","","",10,0,,,,,,
1075,37,3247,"",156,"","",,"A UL23 mutant is attenuated in cats [Ref1981:Yokoyama et al., 1996].","A UL23 mutant induces significant protection in cats from wild type FHV-1 4 weeks after vaccination [Ref1981:Yokoyama et al., 1996].","","","",10,0,,,,,,
1076,38,3248,"",25,"","",,"A carAB mutant is attenuated in turkeys [Ref1810:Kwaga et al., 1994].","A carAB mutant induces significant protection in turkeys from challenge with wild type E. coli [Ref1810:Kwaga et al., 1994].","","","",10,0,,,,,,
1077,3,3249,"",25,"","",,"A ler mutant is attenuated in mice [Ref1787:Liu et al., 2009].","Suckling mice born to mothers immunized with a ler mutant were protected from challenge with wild type E. coli [Ref1787:Liu et al., 2009].","","","",10,0,,,,,,
1078,3,3250,"",173,"","",,"A gE mutant is attenuated in mice [Ref1922:Tsujimura et al., 2006].","A gE mutant induces significant protection in mice from challenge with wild type EHV [Ref1922:Tsujimura et al., 2006].","","","",10,0,,,,,,
1079,3,3251,"",173,"","",,"A gI mutant is attenuated in mice [Ref1922:Tsujimura et al., 2006]","A gI mutant induces significant protection in mice from challenge with wild type EHV [Ref1922:Tsujimura et al., 2006].","","","",10,0,,,,,,
1080,3,3252,"",173,"","",,"A TK mutant is attenuated in mice [Ref1983:Slater et al., 1993].","A TK mutant induces significant protection from challenge with wild type EHV [Ref1983:Slater et al., 1993].","","","",10,0,,,,,,
1081,18,3252,"",173,"","",,"A TK mutant is attenuated in foals [Ref1983:Slater et al., 1993].","A TK mutant provides partial protection in foals from challenge with wild type EHV [Ref1983:Slater et al., 1993].","","","",10,0,,,,,,
1082,48,3253,"",209,"","",,"A esrB mutant is attenuated in fish [Ref1995:Lan et al., 2007].","An esrB mutant induces significant protection in fish from challenge with wild type Edwardsiella tarda [Ref1995:Lan et al., 2007].","","","",10,0,,,,,,
1083,15,3254,"",66,"","",,"An E(rns) mutant is attenuated in swine [Ref1882:Sainz et al., 2008].","An E(rns) mutant induces protection in swine from challenge with wild type CSVF [Ref1882:Sainz et al., 2008].","","","",10,0,,,,,,
1084,15,3255,"",66,"","",,"An E1 mutant is attenuated in swine [Ref1881:Fernandez-Sainz et al., 2009].","An E1 mutant induced protection in swine from challenge with wild type CSFV [Ref1881:Fernandez-Sainz et al., 2009].","","","",10,0,,,,,,
1085,15,3256,"",66,"","",,"An E2 mutant is attenuated in swine [Ref1976:Maurer et al., 2005].","An E2 mutant induced significant protection in swine from challenge with wild type CSFV [Ref1976:Maurer et al., 2005].","","","",10,0,,,,,,
1086,3,3257,"",121,"","",,"A purM mutant is attenuated in mice [Ref1796:Breitbach et al., 2008].","A purM mutant induced protection from challenge with wild type B. pseudomallei [Ref1796:Breitbach et al., 2008].","","","",10,0,,,,,,
1087,3,3258,"",121,"","",,"A purN mutant was attenuated in mice, as mice did not show any clinical symptoms of illness [Ref1796:Breitbach et al., 2008].","A purN induced strong protection in mice from challenge with wild type B. pseudomallei [Ref1796:Breitbach et al., 2008].","","","",10,0,,,,,,
1088,3,3259,"",8,"","",,"A bp26 mutant is attenuated in mice [Ref1988:Cloeckaert et al., 2004].","A bp26 mutant induces significant protection in mice from challenge with wild type B. melitensis [Ref1988:Cloeckaert et al., 2004].","","","",10,0,,,,,,
1089,3,3260,"",8,"","",,"Brucella DeltaexsA mutant showed decreased survival in mice compared to the survival of parental strain S2308 [Ref1786:Rosinha et al., 2002a].","Challenge experiments revealed that the exsA mutant strain induced superior protective immunity in BALB/c mice compared to the protective immunity induced by strain S19 or RB51 [Ref1786:Rosinha et al., 2002a].","","","",10,0,,,,,,
1090,3,3261,"",8,"","",,"An omp25 mutant is attenuated in mice [Ref1946:Edmonds et al., 2002].","An omp25 mutant induces protection from challenge with wild type Brucella melitensis [Ref1946:Edmonds et al., 2002].","","","",10,0,,,,,,
1091,3,3262,"",8,"","",,"An omp31 mutant is attenuated in mice [Ref1988:Cloeckaert et al., 2004].","An omp31 mutant induces significant protection in mice from challenge with wild type B. melitensis [Ref1988:Cloeckaert et al., 2004].","","","",10,0,,,,,,
1092,3,3263,"",8,"","",,"A pgm mutant is attenuated in mice [Ref1909:Ugalde et al., 2003].","A pgm mutant induces significant protection in mice from challenge with wild type B. abortus [Ref1909:Ugalde et al., 2003].","","","",10,0,,,,,,
1093,3,3264,"",8,"","",,"A pgk mutant is attenuated in mice [Ref1811:Trant et al., 2010].","A pgk mutant induces significant protection from challenge with wild type B. abortus [Ref1811:Trant et al., 2010].","","","",10,0,,,,,,
1094,12,3265,"",143,"","",,"A glycoprotein G mutant is attenuated in calves [Ref1989:Schmidt et al., 2002].","A glycoprotein G mutant induces significant protection in calves from challenge with wild type BRSV [Ref1989:Schmidt et al., 2002].","","","",10,0,,,,,,
1095,12,3266,"",67,"","",,"A UL23 mutant is attenuated in calves [Ref1984:Kit et al., 1985].","A UL23 mutant induced protection in calves from challenge with wild type BHV-1 [Ref1984:Kit et al., 1985].","","","",10,0,,,,,,
1096,3,3267,"",135,"","",,"A fla mutant is attenuated in SCID mice [Ref2055:Sadziene et al., 1996].","A fla mutant induces protection in mice from challenge with wild type B. burgdorferi 28 days after inoculation [Ref2055:Sadziene et al., 1996].","","","",10,0,,,,,,
