"c_pathogen_id","c_pathogen_name","c_taxon_id","c_disease_name","c_host_range","c_organism_type","c_preparation_vo_id","c_vaccine_vo_id","c_protein_vo_id","c_pathogenesis","c_protective_immunity","c_gram"
12,Francisella tularensis,263,Tularemia ,"F. tularensis is the etiologic agent of tularemia, a zoonotic disease that affects a range of animals, including rabbits, hares and rodents. Human disease occurs throughout the northern hemisphere [Ref46:Isherwood et al., 2005].",G- bacterium,VO_0012198,,VO_0010760,"There are two types of F. tularensis; Type A is the most virulent causing an often fatal disease while Type B is less virulent and therefore causes a milder form of disease. The species are classified into four distinct sub-species.  F. tularensis subspecies tularensis comprises all the strains previously classified as Type A.   F. tularensis subspecies holarctica comprises those strains classically referred to as Type B.  F. tularensis subspecies mediaasiatica comprises Central Asian strains. The fourth subspecies, F. tularensis subspecies novicida, is a very infrequent cause of human disease, although F. novicida is able to cause a lethal infection in the murine model of disease [Ref46:Isherwood et al., 2005].","While antibody develops against both lipopolysaccharide (LPS) and protein antigens, the role of antibody in protection depends on the nature of the challenge strain. In the murine model of disease, immunization with LPS is able to provide antibody-mediated protection against an otherwise lethal intradermal or intraperitoneal challenge with F. tularensis subspecies holarctica. However, similarly immunized mice are only partially protected against an airborne challenge with F. tularensis subspecies holarctica. When challenged with the most virulent strains of F. tularensis (subspecies tularensis) by any routes, there is at best evidence only of a slight delay in the time to death.  

Cellular immunity is likely to play the main role in protection against tularemia. In mice challenged with F. tularensis LVS, neither CD4+ nor CD8+ T cells appear to be absolutely required for control of the infection, but either cell type can promote clearance of the challenge. However, both CD4+ and CD8+ T cells appear to be required for the clearance of a challenge with F. tularensis subspecies tularensis. The clearance of F. tularensis is likely due to the Th1-related cytokines TNFÎ±, IFNÎ³, and IL-12. 

Overall,  protection against tularemia is likely to be dependent on the induction of antibody, CD4+ and CD8+ T cell immune responses. The induction of all of these responses appears to be necessary for protection and effective clearance of the most virulent strains [Ref46:Isherwood et al., 2005].",-
13,Ebola virus,205488,Ebola hemorrhagic fever,"The natural host for Ebola virus is unknown [Ref76:Sullivan et al., 2003]. ",virus,VO_0012199,,VO_0010761,"Mononuclear phagocytes are the first targets of infection relevant to disease pathogenesis, followed by connective tissues and parenchymal cells. Cytokines are released when reticuloendothelial cells encounter virus, which can contribute to exaggerated nonprotective inflammatory responses. Ebola virus GP plays a vital role in infection. Virual GP appears to form a trimeric complex and binds preferentially to endothelial cells Infection of endothelial cells also induces a cytopathic effect and damage to the endothelial barrier that, together with cytokine effects, leads to the loss of vascular integrity. Cytokine dysregulation and virus infection may synergize at the endothelial surface, promoting hemorrhage and vasomotor collapse. Severity of infection is influenced by age, immune status, and viral virulence. Infection with species-adapted viruses may be lethal. The amount and location of fibin deposits varies with animal species. Strains show differing levels of virulence both across species and by route of administration. Microvascular damage and activation of the clotting cascade occurs. Death is secondary to massive cell death, fluid shifts, hemorrhages, and vascular abnormalities [Ref76:Sullivan et al., 2003a].","Both adaptive and innate inflammatory systems respond to infection [Ref76:Sullivan et al., 2003a]. Although antibody titres correlate with the protective response, many studies in non-human primates have suggested that the passive transfer of antibody is insufficient to provide long-lasting protection against Ebola virus [Ref77:Sullivan et al., 2003b]. In rodent studies with adapted Ebola virus, passive transfer of antibodies or adoptive transfer of cytotoxic T cells showed protection when given before infection. A more sensitive but less quantitative CD4 lympho-proliferative response correlated with protection in a DNA/ADV primeâ€“boost study. In addition to the antibody response induced by an effective vaccine, both CD4 and CD8 responses were observed after the challenge. The fact that CD4 responses were not observed before challenge whereas CD8 responses were more consistently seen beforehand suggests that the CD8 response is likely to have an important role in protection in non-human primates [Ref77:Sullivan et al., 2003b]. ",n
14,Clostridium botulinum ,1491,Botulism,"The following animal models have been established:  binding of the progenitor toxins and recombinant proteins to human erythrocytes, binding experiments of the progenitor toxins and recombinant proteins to paraformaldehyde-fixed sections of guinea pig upper small intestine, wound botulism in mice using an inoculum of Clostridium botulinum type A spores, a rat model of localized disuse induced by the Clostridium botulinum toxin,  and the rat as an animal model for infant botulism [Ref101:PathPort].",G+ bacterium,VO_0012284,,VO_0010762,"The botulinum neurotoxin is a metalloproteinase that enters nerve cells and blocks neurotransmitter release by zinc-dependent cleavage of protein components of the neuroexocytosis apparatus. Specifically, botulinum toxin types A and E target a protein known as SNAP-25, and toxin types B, D, F, and G target the protein VAMP/synaptobrevin. Toxin C targets both SNAP-25 and syntaxin. Target protein cleavage significantly disrupts release of the neurotransmitter acetylcholine. In its native state, this neurotoxin is bound to nontoxic proteins, which greatly enhances toxin molecular stability. Botulinum toxin introduced into the body (potentially by a number of mechanisms but most commonly by absorption from the gastrointestinal tract) is carried throughout the body by the bloodstream. Toxin binds to nerve-ending receptors, becomes internalized within the neuron, and causes an irreversible blockade of cholinergic transmission at the following sites: all ganglionic synapses, all postganglionic parasympathetic synapses, and all neuromuscular junctions. The far-reaching results at these sites include widespread flaccid paralysis and potentially devastating autonomic nervous system perturbations [Ref101:PathPort].","Inhibition of BoNT action at any of the key steps of the BoNT pathogenesis process outlined above could abolish the onset of botulism. Protective antibody immune response against specific BoNT toxin types is required to protect against different BoNT toxin types in botulism infections.  The administration of antitoxin is the only specific pharmacologic treatment available for botulism [Ref109:Byrne et al., 2000].",+
17,Lassa Fever Virus,11620,Lassa fever,"The natural host is a small African rat, Mastomys natalensis [Ref116:Fisher-Hoch et al., 2001].  ",virus,VO_0012249,,VO_0010763,"Disease is associated with destruction of antigen specific cytotoxic T lymphocytes (CTLs), causing leukopenia, decreased hemoglobin concentration, elevation of liver aminotransferases, and liver lipidosis. Pathogenesis involves initial replication at the site of infection. Lymph node, lung, and other parenchymal organs are important sites of viral growth. Interstitial infiltrates and edema occur during infection, and the macrophage is early and prominently involved. Many epithelial structures contain antigen and nucleic acids, with widespread marginal zone infection and splenic lymphoid follicle necrosis are common findings [Ref132:Botten et al., 2006].","Detectable neutralizing antibodies are absent during acute Lassa virus infection. Low-titer neutralizing antibodies may appear several weeks to months after the resolution of infection. Treatment of LF patients with immune plasma does not protect against disease. These observations strongly suggest that antibody response is not important, instead, cell-mediated immunity is critical for protection against LASV infection in humans. LASV-specific CD4+ T cells have been found in convalescent patients, and CD8+ T-cell response is the main determinant responsible for providing protection against LASV infection  [Ref132:Botten et al., 2006].",n
18,Variola virus,10255,Smallpox,"Variola virus is considered to be a host-restricted poxvirus, with humans as the reservoir host and no zoonotic hosts known.  However, the virus does replicate well in most mammalian cell cultures [Ref153:McFadden, 2005].",virus,VO_0012200,,VO_0010764,"Smallpox is a viral disease unique to humans. To sustain itself, the virus must pass from person to person in a continuing chain of infection and is spread by inhalation of air droplets or aerosols. There are three principal routes of viral infection corresponding to the three principal surfaces of the body: the respiratory tract, the alimentary tract, and the skin. Minor routes of infection include the urinary and genital tracts and the conjunctiva. Although congenital infection occasionally occurred in smallpox, it was of no epidemiologic importance. The infectious dose is unknown but is believed to be only a few virions [Ref150:Henderson, 1999].
It is assumed to be low, 10 to 100 organisms [Ref151:Franz et al., 1997]. 
Variola is most effectively spread via the respiratory route with as little as ten plaque-forming units contained within aerosolized saliva able to transmit the infection from person to person [Ref152:Hassett, 2003].
Variola virus is highly stable and retains its infectivity for long periods outside the host. It is infectious by aerosol, but natural airborne spread to other than close contacts is controversial. Approximately 30% of susceptible contacts became infected during the era of endemic smallpox, and the WHO eradication campaign was predicated on close person-to-person proximity being required for transmission to occur reliably. Nevertheless, variola virus's potential in low relative humidity for airborne dissemination was alarming in two hospital outbreaks. On natural exposure to aerosolized virus, variola travels from the upper or the lower respiratory tract to regional lymph nodes, where it replicates and gives rise to viremia, which is followed soon thereafter by a rash [Ref134:PathPort].","Both cellular and humoral immune response are important in protection against smallpox. In mouse models of vaccinia infection, extensive studies have shown that passive immunotherapy with immune serum or monoclonal antibodies are protective. Antiviral antibody could protect mice efficiently even if CD4+ or CD8+ T cells were depleted prior to challenge. However, in B-cell-deficient or MHC II-deficient mice, which are unable to elicit effective antibody responses, strong antiviral T-cell responses played an important role in protecting against disease following viral challenge. Studies using non-human primates infected with lethal monkeypox showed that the smallpox vaccine-induced antibody responses were both necessary and sufficient for protection against lethal monkeypox infection. In humans, cellular immunity played the most important role in protective immunity in humans against  primary poxvirus infections based on the severe complications following smallpox vaccination of children with genetic T-cell deficiencies. Following vaccination, strong antiviral antibody responses are likely to be the main effector mechanism responsible for protection against secondary infection [Ref182:Amanna et al., 2006]. ",n
24,Campylobacter jejuni,197,Campylobacterosis,"The primary risk factors associated with Campylobacter infection are consuming and handling foods of animal origins, especially poultry products. In addition to epidemiological evidence, microbiological evidence supports poultry as the primary source of human Campylobacter infection [Ref201:Nelson et al., 2007].",G- bacterium,VO_0012280,,VO_0010765,"Most Campylobacter infections are mild, self-limiting diarrheal illnesses, but severe infections do occur. The primary risk factors associated with Campylobacter infection are consuming and handling foods of animal origins, especially poultry products. In addition to epidemiological evidence, microbiological evidence supports poultry as the primary source of human Campylobacter infection [Ref201:Nelson et al., 2007]. The majority of Campylobacter-associated infections are thought to be sporadic cases of food poisoning; contaminated drinking water, including that from public water supplies, is the vehicle of large Campylobacter-associated outbreaks. Although Campylobacter spp. are widely distributed in the environment, the epidemiology of many cases of Campylobacter-associated infections remains unclear [Ref202:Abulreesh et al., 2006]. After incubation of approximately three days, abrupt cramping pain in the abdomen is followed by diarrhea. The mechanism of diarrhea induction is a complex and multifactorial process. The diarrheal stage lasts a few days. Complications are rare, but infection may be followed by the development of reactive arthritis or GBS. 

Flagella-mediated motility has been shown to be necessary for Campylobacter to colonize the intestinal tract, and experimental infections in humans and animals, and in vitro analyses of adherence and invasion in cultured human cells have demonstrated that cell invasiveness is necessary in Campylobacter-induced inflammatory diarrhea. Several bacterial components have been shown to have adhesive properties (LPS, flagella, fimbrial filaments, surface-exposed proteins), and a direct role of toxins including of cytolethal distending toxin (CDT) in disease remains to be demonstrated. Host factors are of importance in the pathogenesis of GBS following a Campylobacter infection. It is now clear that specific bacterial genes are crucial for the induction of anti-ganglioside antibodies [Ref203:Engberg, 2006].","Anti-flagellar serum antibody titres of the dams did not correlate with protection of their young [Ref570:Dolby et al., 1986]. There was a good correlation between high campylobacter-specific IgG response and bactericidal activity. The degree of protection conferred by vaccinated dams on infant mice against colonization by Campylobacter jejuni depended on the bacterial strain, preparation, and route of administration of the vaccine. In some instances of homologous protection, serum bactericidal titres correlated well with protection. However, boiled C. jejuni vaccine, which was non-protective, also elicited a strong bactericidal antibody response. Conversely, bactericidal activity could not be demonstrated against strains capable of cross-protection.  [Ref571:Abimiku et al., 1989].",-
25,Escherichia coli,83334,Hemorrhagic colitis,"Direct links between E. coli O157:H7 in cattle and human infections have been confirmed by bacterial isolation and by the presence of serum antibodies against O157 and Shiga-toxin (Stx) antigens in dairy farm families and their cattle. Cattle are believed to be a major conduit for the passage of E. coli O157:H7 into the food supply, but other animals also shed this microorganism in their feces [Ref200:Pathport]. For this reason, neonatal calves are often used as an animal model in testing EHEC vaccines, as well as gnotobiotic piglets. However, since EPEC is host specific and dpes not induce diarrhea in animals, the pathology of the infection is imitated in animal hosts through the use of specially-adapted veterinary pathogens, such as REPEC (rabbit enteropathogenic E. coli) and RDEC (rabbit diarrheal E. coli). Both of these strains elicit the A/E lesions needed to study the vaccine [Ref669:Horne et al., 2002].",G- bacterium,VO_0012201,,VO_0010766,"E. coli O157:H7 can be transmitted by food and water. Infection by E. coli O157:H7 is most commonly caused by the consumption of undercooked, contaminated ground beef or beef products, also caused by contaminated drinking or recreational water, raw milk, and person to person contact. The infection mechanisms by which E. coli O157:H7 causes haemorrhagic colitis and HUS are not fully understood. E. coli O157:H7 is believed to adhere closely to mucosal cells of the large bowel, disrupting the brush border. This adherence is completed through the utilization of a Type IV fimbriae bundle-forming pilus between the E. coli and the intestinal epithelial cells.The adherence can progress to a more intimate attatchment resulting in the formation of A/E lesions [Ref669:Horne et al., 2002]. This process alone may be sufficient to produce non-bloody diarrhoea. Shiga toxins have both local and systemic effects on the intestine and are probably critical to the development of bloody diarrhoea. Shiga toxin (Stx) binds to globotriaoxylceramide receptors (Gb3) on cells in the vascular system and in the kidneys. Interaction with the Gb3 receptor leads to internalization of the toxin, which results in the inhibition of protein synthesis [Ref669:Horne et al., 2002].   Histopathological changes associated with infection include haemorrhage and oedema in the lamina propria with areas of superficial focal necrosis. Beef products still account for most of the E. coli O157:H7 cases; however, other food like salad vegetables, fruits, alfalfa and radish sprouts, unpasteurized apple cider, mayonnaise, yogurt, and salami have also been implicated in recent major outbreaks [Ref200:Pathport].","Possible future treatments for E. coli O157:H7 infection include orally administered shiga toxin-binding resins and toxin-neutralising antibodies. Natural infection with E. coli O157:H7 does not confer immunity, and no human vaccine is currently available [Ref200:Pathport]. Major advances in the production of the vaccine can be made once a better understanding of mucosal immunology is complete. DNA-based vaccination is also a possibility to develope protective immunity against EHEC and EPEC. Construction of these vaccines expressing multiple virulence genes of the pathogen could be effective in producing long-term immune response [Ref669:Horne et al., 2002].",-
26,Human Immunodeficiency Virus,12721,Acquired Immunodeficiency Syndrome (AIDS),"AIDS has killed more than 25 million people since it was first recognized in 1981. Globally, ~40 million people currently live with HIV. Sub-Saharan Africa remains by far the worst-affected region. More than 64% of all people living with HIV are in sub-Saharan Africa, as are more than three quarters of all women living with HIV. Two-thirds of HIV/AIDS infections in Asia occur in India, with an estimated 6 million infections, surpassing South Africa's 5.5 million infections, making India the country with the highest number of HIV infections in the world [Ref224:Palella et al., 1998].",virus,VO_0012203,,VO_0010767,"The 3 major routes of HIV transmission are sexual intercourse, contaminated needles, and transmission from an infected mother to her baby at birth, or through breast milk. HIV primarily infects vital cells in the human immune system such as helper T cells (specifically CD4+ T cells), macrophages, and dendritic cells. This decreases CD4+ T cells through direct viral killing of infected cells, increased rates of apoptosis in infected cells, and killing of infected CD4+ T cells by CD8 cytotoxic lymphocytes that recognize infected cells. When CD4+ T cell numbers decline below a critical level, cell-mediated immunity (CMI) is lost, and the body becomes progressively more susceptible to opportunistic infections [Ref236:Chan et al., 1997].","HIV can infect a variety of immune cells such as CD4+ T cells, macrophages, and microglial cells. HIV-1 entry to macrophages and T cells is mediated through interaction of the virion envelope glycoproteins (gp120) with the CD4 molecule on target cells and also with chemokine coreceptors. Macrophages play a key role in several critical aspects of HIV infection. They appear to be the first cells infected by HIV and perhaps the source of HIV production when CD4+ cells become depleted in the patient. T-tropic isolates, or syncitia-inducing (SI) strains replicate in primary CD4+ T cells as well as in macrophages. Dual-tropic HIV-1 strains are thought to be transitional strains of the HIV-1 virus. HIV can also infect a subtype of myeloid dendritic cells, which probably constitute a reservoir that maintains infection when CD4+ T cell numbers have declined to extremely low levels [Ref236:Chan et al., 1997][Ref237:Coakley et al., 2005][Ref238:Deng et al., 1996][Ref239:Knight et al., 1990].",n
27,Hantavirus,11598,Hantavirus Pulmonary Syndrome,"n the US, primarily deer mice, along with cotton rats and rice rats in the southeastern states and the white-footed mouse in the Northeast, carry hantaviruses that cause hantavirus pulmonary syndrome [Ref227:CDC Hantaviruses].",virus,VO_0012230,,VO_0010768,"Rodents (primarily deer mice) carry hantaviruses that cause hantavirus pulmonary syndrome in human. Rodents shed the virus in their urine, droppings, and saliva. The virus is mainly transmitted to people when they breathe in air contaminated with the virus. Functional impairment of vascular endothelium is central to the pathogenesis of HPS, and a myocardial depressant may contribute significantly to the mortality of this disease. Hantaviruses can infect endothelial cells,  macrophages and dendritic cells. The mechanism of inflammatory cell recruitment in the lungs of HPS patients may result from specific attraction and adherence of a selective population of inflammatory cells to an activated pulmonary microvascular endothelium [Ref227:CDC Hantaviruses]. ","KlingstrÃ¶m et al. reported that the strong Th2-type of immune response induced by Alum against rDOBV N did not induce protection in mice [Ref229:Klingstrom et al., 2004].",n
28,Marburg Virus,186537,Hemorrhagic fever,"The natural host for MARV is known to be bats of Central African origin [Ref622:Mohamadzadeh et al., 2007]. ",virus,VO_0012225,,VO_0010769,"   The initial targets of infection are generally macrophages, monocytes, and DCs. Filoviruses generally bind to the TREM or C-type lectin receptors on myloid cells. However, since some cells do not express C-lectin or TREM receptors, viral entry may be due to molecules such as heparin-sulphate proteoglycan and folate receptor-Î±. Data also indicate that the expression of TLR1 (whose signal converges with that of TLR2) was increased on MARV-activated neutrophils [Ref622:Mohamadzadeh et al., 2007]. 
","Filoviruses have been found to disable some of the host IFN pathway, such as the VP35, which prevents the production of type I IFNs, and VP24, which interferes with the abilities of certain molecules to induce antiviral states. IFN is crucial to immune response, as indicated by elevated levels of IFN in the blood even during acute infection. It had also been seen that there is a deficit (virus-induced) in the co-stimulatory properties of infected Dcs, identified by a supressed capacity of the DCs to stimulate allogenic T cells.  By affecting either viral exit or entry, cellular proteases could influence viral cellular tropisms and interactions between antibodies and glycoproteins. All host protective immunity observations are also tied with the prevalence of an abundance of cathepsins [Ref622:Mohamadzadeh et al., 2007]. 
",n
29,Mycobacterium tuberculosis,1773,Tuberculosis,"Host ranges extend to many animals, including human, mouse, guinea pig, rabbit, and cattle.  The most predominant animal used to study M. tuberculosis for virulence assessment and vaccine development is likely the mouse, which include C57BL/6 and BALB/c strains, mainly due to cost effectiveness for long-term vaccination/challenge studies.  Dunkin Hartley guinea pigs are often used in M. tuberculosis studies as a close model for the overall pathogenesis in humans.",G+ bacterium,VO_0012195,,VO_0010770,"Mouse and guinea pig models have been used extensively to understand the host and pathogen-specific factors controlling pathogenesis of tuberculosis.  Transmission of M. tuberculosis via intravenous route in murine models is followed by initial bacterial replication and subsequent macrophage activation via IL-6, IL-12, and TNF-mediated mechanisms.  Bacterial load is significantly reduced at 2 weeks post-infection in liver and spleen.  After load reduction, selected lymphocytes are activated which can then induce macrophages to begin producing nitric oxide via the iNOS pathway.  Bacteria which survive the initial clearance by the host enter a viable yet non-replicating persistence stage.  Factors such as immune suppression from aging, iNOS inhibition, and corticosteroid therapy can shift the dormant bacilli back into a replicative state.  As an example of preferred host niche, transmission via inhalation will sometimes result in bacilli establishing infection in macrophage phagosomes in the lung.  These macrophages become lodged in the calcified tubercles, and can later initiate formation of granulomas through a CD4-mediated delayed-type hypersensitivity reaction.  Each granuloma can remain dormant, reduce in size and possibly disappear, initiate progressive interstitial fibrosis in lung tissue, and/or necrotize [Ref327:Ernst et al., 2007].  Similar mechanisms are observed in liver tissue [Ref550:Ducati et al., 2006].
Numerous pathogen- and host-specific factors related to pathogenesis of tuberculosis are potential vaccine targets.  For example, the Bacille-Calmette Guiren (BCG) vaccine was obtained from an M. bovine strain which lost its virulence after 39 passages [Ref550:Ducati et al., 2006].  Evidence from subtractive hybridization experiments, along with whole-genome microarrays and BAC arrays and other experimental evidence, suggests that the RD1 locus is the main virulence feature that is absent from 13 strains of avirulent BCG yet present in hundreds of other M. tuberculosis strains [Ref327:Ernst et al., 2007].  RD1 is related to the regulation of the early secreted antigen 6 kDa [ESAT-6] secretion system 1[ESX-1], an important pathway which is linked to the recruitment and infection of macrophages to initially infected sites and subsequent disease propagation  [Ref327:Ernst et al., 2007].","Although it is known that IFN-gamma is essential for protective immunity, animal and human studies have found that IFN-gamma alone is not sufficient for the prevention of TB disease. There is evidence that IL-23, a recently described member of the IL-12 family of cytokines, is important in the immuno-pathogenesis of TB. There is also evidence that regulatory T cells (Treg) are present in TB disease and that Treg may suppress effector T cell responses [Ref234:Fletcher, 2007].  New vaccines seek to target specific CD1, CD4+, and CD8+ T and B cell responses to assist in eradicating the disease via improved clearance of infected cells and bacterial loads.",n
30,Plasmodium spp.,5820,Malaria,"The vast majority of malaria cases occur in children under the age of 5 years; pregnant women are also especially vulnerable. Despite efforts to reduce transmission and increase treatment, there has been little change in which areas are at risk of this disease since 1992. Precise statistics are unknown, as the majority of cases are undocumented. Although HIV/malaria co-infection produces less severe symptoms than the interaction between HIV and TB, HIV and malaria do contribute to each other's spread. This effect comes from malaria increasing viral load and HIV infection increasing a person's susceptibility to malaria infection. Malaria is presently endemic in a broad band around the equator, in areas of the Americas, many parts of Asia, and much of Africa; however, it is in sub-Saharan Africa where 85â€“ 90% of malaria fatalities occur. The geographic distribution of malaria within large regions is complex, and malarial and malaria-free areas are often found close to each other. In drier areas, outbreaks of malaria can be predicted with reasonable accuracy by mapping rainfall [Ref247:Breman, 2001][Ref248:Greenwood et al., 2005][Ref249:Hay et al., 2004].",parasite,VO_0012207,,VO_0010771,"Malaria in humans develops via exoerythrocytic (hepatic) and erythrocytic phases. When an infected mosquito pierces a person's skin to take a blood meal, sporozoites in the mosquito's saliva enter the bloodstream and migrate to the liver. Within 30 minutes of being introduced into the human host, they infect hepatocytes, multiplying asexually and asymptomatically for a period of 6â€“15 d. During this ""dormant"" time in the liver, the sporozoites are often referred to as ""hypnozoites"". Once in the liver, these organisms differentiate to yield thousands of merozoites which, following rupture of their host cells, escape into the blood and infect red blood cells, thus beginning the erythrocytic stage of the life cycle. The parasite escapes from the liver undetected by wrapping itself in the cell membrane of the infected host liver cell. Within the erythrocytes, the parasites multiply further, periodically breaking out of their hosts to invade fresh erythrocytes. Several such amplification cycles occur, resulting in the classical waves of fever. Some merozoites turn into male and female gametocytes. If a mosquito pierces the skin of an infected person, it potentially picks up gametocytes within the blood. Fertilization and sexual recombination of the parasite occurs in the mosquito's gut, thereby defining the mosquito as the definitive host of the disease. New sporozoites develop and travel to the mosquito's salivary gland, completing the cycle. Pregnant women are especially attractive to the mosquitoes, and malaria in pregnant women is an important cause of stillbirths, infant mortality and low birth weight [Ref244:Talman et al., 2004][Ref245:Bledsoe, 2005][Ref246:Sturm et al., 2006].","Plasmodia are relatively protected from attack by the body's immune system because for most of its life cycle it resides within liver and blood cells and is relatively invisible to immune surveillance. However, circulating infected blood cells are destroyed in the spleen. To avoid this fate, P. falciparum displays adhesive proteins on the surface of the infected blood cells, causing blood cells to stick to the walls of small blood vessels, thereby sequestering the parasite from passage through the general circulation and the spleen and giving rise to hemorrhagic complications. Endothelial venules can be blocked by the attachment of masses of these infected red blood cells (RBCs). The blockage of these vessels causes placental and cerebral malaria. Although the RBC surface adhesive proteins (called PfEMP1, for Plasmodium falciparum erythrocyte membrane protein 1) are exposed to the immune system, they do not serve as good immune targets because of their extreme diversity; there are at least 60 variations of the protein within a single parasite and perhaps limitless versions within parasite populations [Ref250:Chen et al., 2000][Ref251:Adams et al., 2002].",?
31,Haemophilus influenzae,727,Meningitis,"H. influenzae live exclusively in humans, and although they may cause disease in a variety of body sites (such as the central nervous system, joints, skin, lungs, bronchi and genito-urinary tract), they are most commonly isolated from the nasopharynx, where they are carried asymptomatically . Throat or nasopharyngeal culture surveys of both healthy and ill individuals reveal the carriage rate to be between 20 and 85%, and the majority of colonizing strains lack a capsule. Person to person transmission of H. influenzae is assumed to occur by contact with infected respiratory droplets and has resulted in clusters of H. influenzae type b (Hib) invasive infections among children in households and day care centers [Ref253:Marrs et al., 2001].

The infant rat model of invasive Hib disease played a substantial role in the identification of Hib virulence factors. The model allows for respiratory tract colonization in rats less than three weeks of age by inhalation of only a few organisms. Colonization is followed closely by bacteremia and meningitis. Therefore, this model mimics the invasive disease seen in children . Older rats (up to three months of age) can also develop meningitis through intraperitoneal injection of Hib and subsequent bacteremia. Rabbits have also been used for experimental Hib infections and have contributed to understanding the pathophysiology of meningitis and in the design of treatment regiments. Rabbits require direct inoculation into the CNS or the perturbation of the CNS prior to i.v. injection [Ref253:Marrs et al., 2001].

Experimental infection studies for otitis media most often employ the chinchilla but the gerbil and rat have also been used . In the chinchilla, NTHi are often inoculated directly into the bulla and disease is monitored over a two- to eight-week period for fluid pressure changes using otoscopy and tympanometry. Tympanocentesis and nasopharyngeal lavage are performed to assess colonization and immune responses present in the middle ear . Direct inoculation of the middle ear results in 100% infectivity but bacterial and host factors involved in initial nasopharyngeal colonization cannot be studied through this route. While NTHi can colonize the nasopharynx of chinchillas after experimental inoculation, colonization does not consistently lead to otitis media. An otitis media model has, however, been developed that allows for initial colonization with NTHi. Chinchillas are first infected with adenovirus, and then NTHi, administered nasally, will colonize the nasopharynx and sometimes result in otitis media. This scenario mimics development of otitis media in children. This method has been used to assess the role of bacterial components in colonization and their potential as vaccine candidates .

Pulmonary infection models used for vaccine efficacy tests have utilized both mice and rats. In these models, animals are immunized intravenously or at the mucosal surface and then challenged by direct administration of NTHi to the lungs. Bacterial clearance is then assessed a few hours after challenge by culturing homogenized lung tissue or lavage fluid. These pulmonary clearance models, however, do not allow for the study of persistent colonization as is seen with chronic infections in the lungs of adults with COPD. Attempts have been made to reflect this scenario in rats by administering NTHi encapsulated within agarose beads. This method can lead to infections that persist for weeks resulting in pathology and immune responses that parallel those seen in humans .",G- bacterium,VO_0012204,,VO_0010772,"The most important virulence factor defining pathogenic H. influenzae strains is capsule, of which six serotypes, a-f, have been described. Among encapsulated strains, those possessing the type b capsule (Hib strains), which is composed of polyribosylribitol phosphate (PRP), are the most virulent, capable of causing sustained bacteremia and subsequent focal infection in non-immune, normal hosts. Like the capsules of other gram negative organisms, H. influenzae capsules enhance the pathogenicity of the bacteria by protecting them from phagocytosis. The strong negative charge of the polysaccharide capsules may provide electrostatic repulsion to phagocytic cells and the capsular material itself may sterically interfere with the binding of opsonizing antibodies and complement to the bacterial surface [Ref253:Marrs et al., 2001].

H. influenzae pili (sometimes called fimbriae) was the first well studied adherence factors of H. influenzae. These filamentous organelles are seen by electron microscopy distributed in a peritrichous manner on the H. influenzae bacterial cell surface of isolates that hemagglutinate and adhere to buccal epithelial cells, but are absent from non-hemagglutinating and non-adherent bacteria. Generally strains isolated from invasive infections do not express pili, while those colonizing the nasopharynx more commonly do. piliated H. influenzae binds to erythrocytes possessing the Anton (AnWj) antigen. Additional studies have shown that sialic acid-containing lactosylceramides, the gangliosides GM1, GM2, GM3 and GD1a, inhibit pilus- mediated H. influenzae binding to both buccal epithelial cells and erythrocytes [Ref253:Marrs et al., 2001].

Highly similar high-molecular-weight proteins (HMW1, HMW2) were first identified as H. influenzae-associated antigens by their ability to induce robust antibody responses in individuals with acute otitis media . Subsequent studies have revealed that these HMW proteins function as adherence factors and can facilitate the colonization of cultured human epithelial cells . HMW1 is a 160 kDa product of the hmw1A gene and HMW2 is a 155 kDa protein encoded by the hmw2A gene; hmw1A and hmw2A are 71% identical and 80% similar . To date the hmw genes have only been detected in nontypable strains, and a majority of HMW-positive strains retain both chromosomal loci [Ref253:Marrs et al., 2001]. 

Secretory IgA fulfills many protective functions on the mucosal surface; these include the neutralization of toxins, inhibition of pathogen attachment to the epithelium, and agglutination of organisms within mucus . To surmount this immunological obstacle, H. influenzae constitutively secrete IgA1 proteases which are enzymes that inactivate the predominant IgA species, IgA1, by cleaving the immunoglobulin molecule at the heavy chain hinge region, resulting in the production of two fragments (Fab and Fc). [Ref256:Reinholdt et al., 1997]

H. influenzae produces a lipopolysaccharide structure that lacks an O-specific antigen and, instead, incorporates short oligosaccharide side chains onto three conserved heptoses and is thus termed lipooligosaccharide (LOS). A wide variety of glyco-modifications to the core LOS molecule have been detected and include the addition of glucose, galactose, lactose, phosphatidylcholine (ChoP), and sialic acid. This repertoire of sugars allows the organism to mimic common eukaryotic glycolipid structures, and is presumably an adaptive strategy for subverting immune defenses [Ref253:Marrs et al., 2001].","Newborns are protected by transplacental maternal type b antibodies and older children and adults are protected by ""natural antibodies"", which are H. influenzae specific antibodies in a host who has not had a known H. influenzae infection. Most likely these antibodies result from subclinical infection or asymptomatic colonization [Ref255:Talan et al., 1999].",-
